"ANO_ZAFRA","LOTE","TCH_ANTERIOR","RENDIMIENTO_BASCULA_ANTERIOR","REGION","TCH","RENDIMIENTO_BASCULA","AREA","TM","VARIEDAD","TAH","DIF","CATEGORIA","FINCA","CONDICION","UP"
"2019/2020","2460402",138.815166946155,121.54140034049,"REGION PRODUC. CENTRAL SUR",126.722907415962,104.978010820174,6.05,766.67358986657,"SP 791287",13303.1187458767,-8.71105066990543,"Baja, 2 a 10% reducción","LA PAZ","NO COSECHADO",NA
"2019/2020","1430104",98.2484854511675,120.52836103141,"REGION PRODUC. ORIENTAL CENTRO",83.8427569023095,120.243249138126,13.36,1120.13923221485,"CP 881165",10081.5255066317,-14.6625451605746,"Muy baja, >10% reducción","MANDELVILLE  I I","NO COSECHADO",NA
"2019/2020","1430105",69.0243473025593,134.190125580496,"REGION PRODUC. ORIENTAL CENTRO",73.0468057507296,115.071437123795,12.76,932.07724137931,"CP 881165",8405.60091503914,5.82759360336778,"Alto, 2 a 10% incremento","MANDELVILLE  I I","NO COSECHADO",NA
"2019/2020","1430303",93.801080783316,119.253235948777,"REGION PRODUC. ORIENTAL CENTRO",107.492523318048,140.192107539076,5.17,555.736345554308,"CP 881165",15069.6033886504,14.5962524316321,"Alto, 2 a 10% incremento","MANDELVILLE  I I","NO COSECHADO",NA
"2019/2020","1470101",122.696828822865,114.198702706535,"REGION PRODUC. ORIENTAL CENTRO",130.128145775461,110.647883246822,33.33,4337.17109869612,"CP 722086",14398.4038808887,6.05664956779363,"Alto, 2 a 10% incremento","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1470102",125.739320648403,114.621573060671,"REGION PRODUC. ORIENTAL CENTRO",129.261525372714,116.314879375883,25.63,3312.97289530267,"CP 881165",15035.0387316699,2.80119592355698,"Alto, 2 a 10% incremento","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1470103",120.639323759809,134.007856737327,"REGION PRODUC. ORIENTAL CENTRO",119.50988036383,106.51401489194,6.87,821.032878099512,"CP 722086",12729.4771768069,-0.93621495941748,"Igual, -2 a 2% diferencia","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1470104",97.7862387299915,107.115034674451,"REGION PRODUC. ORIENTAL CENTRO",97.7450251152241,98.9831311469289,46.66,4560.78287187636,"CP 881165",9675.10863994008,-0.0421466407775288,"Igual, -2 a 2% diferencia","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1470105",117.783878280078,115.710368834572,"REGION PRODUC. ORIENTAL CENTRO",131.632233759763,118.774871329179,53.58,7052.85508484809,"CP 881165",15634.6016275882,11.7574286752174,"Alto, 2 a 10% incremento","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1470106",94.0178041821107,117.509058058347,"REGION PRODUC. ORIENTAL CENTRO",102.015261760066,99.8288437917302,18.33,1869.93974806202,"CP 881165",10184.0656306181,8.50632244342223,"Alto, 2 a 10% incremento","EL HORIZONTE ESTRADA","NO COSECHADO",NA
"2019/2020","1520101",67.6498708010336,116.921559162461,"REGION PRODUC. ORIENTAL CENTRO",70.3009331871393,123.999438546908,23.57,1656.99299522087,"CP 722086",8717.27624452897,3.91879889010106,"Alto, 2 a 10% incremento","ACACIAS","NO COSECHADO",NA
"2019/2020","1520101",67.6498708010336,116.921559162461,"REGION PRODUC. ORIENTAL CENTRO",70.3009331871393,123.999438546908,23.57,1656.99299522087,"CP 722086",8717.27624452897,3.91879889010106,"Alto, 2 a 10% incremento","ACACIAS","NO COSECHADO",NA
"2019/2020","1520101",62.4113597246127,116.921559162461,"REGION PRODUC. ORIENTAL CENTRO",70.3009331871393,123.999438546908,23.57,1656.99299522087,"CP 722086",8717.27624452897,12.6412459163507,"Alto, 2 a 10% incremento","ACACIAS","NO COSECHADO",NA
"2019/2020","1520101",62.4113597246127,116.921559162461,"REGION PRODUC. ORIENTAL CENTRO",70.3009331871393,123.999438546908,23.57,1656.99299522087,"CP 722086",8717.27624452897,12.6412459163507,"Alto, 2 a 10% incremento","ACACIAS","NO COSECHADO",NA
"2019/2020","2840101",83.3789273685171,110.457232406086,"REGION PRODUC. CENTRAL SUR",68.9511111111111,107.893514949,4.5,310.28,"SP 791287",7439.37773741683,-17.303912046791,"Muy baja, >10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2840102",121.603868585608,127.014371611306,"REGION PRODUC. CENTRAL SUR",101.216550699163,121.599684610904,12.43,1258.1217251906,"SP 791287",12307.9006424218,-16.7653530463899,"Muy baja, >10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2840103",89.321262852552,123.785170767617,"REGION PRODUC. CENTRAL SUR",83.9924235183464,118.589184794113,6.66,559.389540632187,"SP 716161",9960.59303392261,-5.96592475747037,"Baja, 2 a 10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2840104",111.715037946617,124.709385054335,"REGION PRODUC. CENTRAL SUR",85.4643713577805,141.08951751002,8.05,687.988189430134,"SP 791287",12058.1269191664,-23.4978809221552,"Muy baja, >10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2840105",127.940272174949,109.418348485537,"REGION PRODUC. CENTRAL SUR",99.0711918589032,115.759737059291,8.78,869.84506452117,"SP 791287",11468.4551197372,-22.5644981250077,"Muy baja, >10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2840106",126.635994897219,112.001516967054,"REGION PRODUC. CENTRAL SUR",122.489435518308,101.886292494631,7.36,901.522245414746,"SP 791287",12479.9944547205,-3.27439238920716,"Baja, 2 a 10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","1590101",92.5076341348732,129.875003153605,"REGION PRODUC. CENTRAL SUR",112.528296093742,111.871855481104,21.61,2431.73647858576,"SP 716161",12588.749278134,21.642172720231,"Muy alto, >10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590101",92.5076341348732,129.875003153605,"REGION PRODUC. CENTRAL SUR",112.528296093742,111.871855481104,21.61,2431.73647858576,"SP 716161",12588.749278134,21.642172720231,"Muy alto, >10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590102",128.379654255319,115.015739309606,"REGION PRODUC. CENTRAL SUR",119.936363636364,114.58029254137,14.52,1741.476,"CP 731547",13742.3436318026,-6.57681364538,"Baja, 2 a 10% reducción","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590102",128.379654255319,115.015739309606,"REGION PRODUC. CENTRAL SUR",119.936363636364,114.58029254137,14.52,1741.476,"CP 731547",13742.3436318026,-6.57681364538,"Baja, 2 a 10% reducción","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590103",90.4697043059614,124.667336611862,"REGION PRODUC. CENTRAL SUR",106.727629180059,120.340488356569,13.56,1447.2266516816,"SP 716161",12843.6550166671,17.9705736841078,"Alto, 2 a 10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590103",90.4697043059614,124.667336611862,"REGION PRODUC. CENTRAL SUR",106.727629180059,120.340488356569,13.56,1447.2266516816,"SP 716161",12843.6550166671,17.9705736841078,"Alto, 2 a 10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","2840107",94.6228842202033,130.154086587441,"REGION PRODUC. CENTRAL SUR",90.2330593994371,116.331822761645,21.95,1980.61565381765,"SP 791287",10496.9762732963,-4.63928452080401,"Baja, 2 a 10% reducción","CERRITOS","NO COSECHADO",NA
"2019/2020","2860101",114.207708779443,121.03426047172,"REGION PRODUC. ORIENTAL CENTRO",125.111746213204,115.33092396964,34.99,4377.66,"CP 881165",14429.2532902239,9.54754941701727,"Alto, 2 a 10% incremento","VILLA ALEGRE","NO COSECHADO",NA
"2019/2020","2900101",105.496412923146,121.860477719942,"REGION PRODUC. CENTRAL SUR",97.4694167852063,106.975284175841,21.09,2055.63,"SP 791287",10426.8185590509,-7.60878584922846,"Baja, 2 a 10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900102",103.138375837194,120.654408741031,"REGION PRODUC. CENTRAL SUR",79.9217391304348,107.372074536405,31.05,2481.57,"SP 791287",8581.36293099215,-22.5101825758892,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900103",105.22248277004,119.183025418152,"REGION PRODUC. CENTRAL SUR",90.0684238132704,103.464187152871,38.13,3434.309,"SP 791287",9318.8562579803,-14.4019211083323,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900104",117.918279570248,116.546642994548,"REGION PRODUC. CENTRAL SUR",108.476324951644,102.337548296358,20.68,2243.2904,"SP 791287",11101.2011437503,-8.00720181214886,"Baja, 2 a 10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900105",111.284375184858,121.580009677386,"REGION PRODUC. CENTRAL SUR",90.181452991453,91.9002925123123,23.4,2110.246,"SP 791287",8287.70190909987,-18.9630594217297,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900106",116.329194197854,117.617486044678,"REGION PRODUC. CENTRAL SUR",93.0390352504638,95.7735070403402,26.95,2507.402,"SP 791287",8910.67469758676,-20.020906280652,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900107",111.19201215573,120.286443408518,"REGION PRODUC. CENTRAL SUR",82.1640341420763,107.474341843,23.34,1917.70855687606,"SP 791287",8830.52549258547,-26.1061720629704,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","2900108",120.842472021615,118.073842775922,"REGION PRODUC. CENTRAL SUR",107.213170518971,106.826964626516,22.93,2458.398,"SP 791287",11453.2575745267,-11.2785689291483,"Muy baja, >10% reducción","SANTA ELENA TIKAL","NO COSECHADO",NA
"2019/2020","1590104",127.690455531453,108.359812602821,"REGION PRODUC. CENTRAL SUR",145.295141242938,123.80396135819,8.85,1285.862,"CP 731547",17988.1140519734,13.7870020419404,"Alto, 2 a 10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590104",127.690455531453,108.359812602821,"REGION PRODUC. CENTRAL SUR",145.295141242938,123.80396135819,8.85,1285.862,"CP 731547",17988.1140519734,13.7870020419404,"Alto, 2 a 10% incremento","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590105",132.541850961538,110.03837607702,"REGION PRODUC. CENTRAL SUR",133.875593137255,114.926914399834,16.32,2184.84968,"CP 731547",15385.9088327123,1.00628002856506,"Igual, -2 a 2% diferencia","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590105",132.541850961538,110.03837607702,"REGION PRODUC. CENTRAL SUR",133.875593137255,114.926914399834,16.32,2184.84968,"CP 731547",15385.9088327123,1.00628002856506,"Igual, -2 a 2% diferencia","OJO DE AGUA G","NO COSECHADO",NA
"2019/2020","1590106",126.633412731006,117.107720883162,"REGION PRODUC. CENTRAL SUR",142.953052805281,113.656807210546,24.24,3465.182,"CP 731547",16247.5875628488,12.8873096936434,"Alto, 2 a 10% incremento","OJO DE AGUA G","NO COSECHADO",NA
